2026-06-27 11:20:09.900 | DEBUG    | source=- run=- target=-:- | inmob.logging.config:configure_logging:69 - Logging configured log_dir=/Users/rayox/Desktop/inmob/logs level=INFO file_level=DEBUG rotation=10 MB retention=14 days
2026-06-27 11:20:09.900 | INFO     | source=- run=- target=-:- | inmob.cli.cli:ingest:100 - Ingestion command started source=all limit=None pages=None target_dir=data/raw config_path=None log_dir=logs log_level=INFO log_file_level=DEBUG
2026-06-27 11:20:09.901 | INFO     | source=- run=- target=-:- | inmob.cli.bronze.runner:_effective_limit:322 - No --limit or --pages provided. Using default limit=15
2026-06-27 11:20:09.901 | INFO     | source=- run=- target=-:- | inmob.cli.bronze.runner:run:51 - Starting ingestion target_dir=/Users/rayox/Desktop/inmob/data/raw source_count=6 sources=['argenprop', 'cabaprop', 'mudafy', 'properati', 'remax', 'zonaprop']
2026-06-27 11:20:09.901 | INFO     | source=- run=- target=-:- | inmob.cli.bronze.runner:run:58 - Limits up to 15 properties per source
2026-06-27 11:20:09.901 | INFO     | source=argenprop run=- target=-:- | inmob.cli.bronze.runner:scrape_source:110 - Starting scraper task limit: 15
2026-06-27 11:20:09.901 | DEBUG    | source=argenprop run=- target=-:- | inmob.cli.bronze.runner:scrape_source:122 - Built search criteria class=ArgenpropSearchCriteria args={'property_type': 'departamentos', 'operation': 'venta', 'location': 'capital-federal', 'sort': 'masnuevos', 'page_size': 20, 'label': 'argenprop-caba-newest'}
2026-06-27 11:20:09.901 | INFO     | source=argenprop run=- target=-:- | inmob.cli.bronze.runner:scrape_source:134 - Target page range=[1] page_size=20
2026-06-27 11:20:09.901 | INFO     | source=cabaprop run=- target=-:- | inmob.cli.bronze.runner:scrape_source:110 - Starting scraper task limit: 15
2026-06-27 11:20:09.901 | DEBUG    | source=cabaprop run=- target=-:- | inmob.cli.bronze.runner:scrape_source:122 - Built search criteria class=CabapropSearchCriteria args={'operation': 'comprar', 'barrios': (), 'location_slug': 'caba', 'page_size': 12, 'order_by': 'created_at', 'sort': 'desc', 'label': 'cabaprop-caba-newest'}
2026-06-27 11:20:09.901 | INFO     | source=cabaprop run=- target=-:- | inmob.cli.bronze.runner:scrape_source:134 - Target page range=[1, 2] page_size=12
2026-06-27 11:20:09.902 | INFO     | source=mudafy run=- target=-:- | inmob.cli.bronze.runner:scrape_source:110 - Starting scraper task limit: 15
2026-06-27 11:20:09.902 | DEBUG    | source=mudafy run=- target=-:- | inmob.cli.bronze.runner:scrape_source:122 - Built search criteria class=MudafySearchCriteria args={'operation': 'venta', 'location': 'caba', 'property_type': 'propiedades', 'sort': 'published_at:desc:nulls_last', 'label': 'mudafy-caba-newest'}
2026-06-27 11:20:09.902 | INFO     | source=mudafy run=- target=-:- | inmob.cli.bronze.runner:scrape_source:134 - Target page range=[1] page_size=20
